id,Status_C,Status_CL,Status_D
3,0.0,0.0,1.0
5,0.0,0.0,1.0
7,1.0,0.0,0.0
10,0.0,0.0,1.0
11,1.0,0.0,0.0
12,0.0,0.0,1.0
24,0.0,0.0,1.0
28,0.0,0.0,1.0
29,1.0,0.0,0.0
30,0.0,0.0,1.0
31,1.0,0.0,0.0
32,1.0,0.0,0.0
43,1.0,0.0,0.0
45,1.0,0.0,0.0
46,0.0,0.0,1.0
51,1.0,0.0,0.0
55,0.0,0.0,1.0
58,1.0,0.0,0.0
65,1.0,0.0,0.0
68,1.0,0.0,0.0
75,0.0,0.0,1.0
82,0.0,0.0,1.0
90,0.0,0.0,1.0
91,0.0,0.0,1.0
101,1.0,0.0,0.0
104,1.0,0.0,0.0
106,0.0,0.0,1.0
109,1.0,0.0,0.0
111,1.0,0.0,0.0
118,1.0,0.0,0.0
119,1.0,0.0,0.0
131,0.0,0.0,1.0
137,1.0,0.0,0.0
138,0.0,0.0,1.0
139,0.0,0.0,1.0
140,1.0,0.0,0.0
143,0.0,0.0,1.0
145,1.0,0.0,0.0
147,1.0,0.0,0.0
152,0.0,0.0,1.0
153,1.0,0.0,0.0
155,1.0,0.0,0.0
157,1.0,0.0,0.0
159,1.0,0.0,0.0
168,1.0,0.0,0.0
169,1.0,0.0,0.0
178,1.0,0.0,0.0
179,1.0,0.0,0.0
181,1.0,0.0,0.0
183,1.0,0.0,0.0
191,0.0,0.0,1.0
192,1.0,0.0,0.0
196,0.0,0.0,1.0
200,1.0,0.0,0.0
201,1.0,0.0,0.0
202,1.0,0.0,0.0
206,1.0,0.0,0.0
207,0.0,0.0,1.0
215,1.0,0.0,0.0
218,1.0,0.0,0.0
220,0.0,0.0,1.0
222,0.0,0.0,1.0
224,1.0,0.0,0.0
225,1.0,0.0,0.0
227,1.0,0.0,0.0
229,0.0,0.0,1.0
230,1.0,0.0,0.0
232,1.0,0.0,0.0
235,1.0,0.0,0.0
244,1.0,0.0,0.0
245,1.0,0.0,0.0
246,1.0,0.0,0.0
252,1.0,0.0,0.0
261,1.0,0.0,0.0
262,1.0,0.0,0.0
266,1.0,0.0,0.0
271,1.0,0.0,0.0
290,1.0,0.0,0.0
293,0.0,0.0,1.0
297,0.0,0.0,1.0
302,1.0,0.0,0.0
305,0.0,0.0,1.0
308,1.0,0.0,0.0
311,1.0,0.0,0.0
315,1.0,0.0,0.0
319,0.0,0.0,1.0
322,1.0,0.0,0.0
323,1.0,0.0,0.0
329,1.0,0.0,0.0
333,0.0,0.0,1.0
335,1.0,0.0,0.0
343,0.0,0.0,1.0
345,1.0,0.0,0.0
351,0.0,0.0,1.0
352,1.0,0.0,0.0
353,1.0,0.0,0.0
354,1.0,0.0,0.0
355,1.0,0.0,0.0
356,1.0,0.0,0.0
358,1.0,0.0,0.0
359,1.0,0.0,0.0
360,0.0,0.0,1.0
362,0.0,0.0,1.0
364,0.0,0.0,1.0
366,0.0,0.0,1.0
368,0.0,0.0,1.0
374,1.0,0.0,0.0
376,0.0,0.0,1.0
378,1.0,0.0,0.0
382,0.0,0.0,1.0
383,1.0,0.0,0.0
385,1.0,0.0,0.0
386,1.0,0.0,0.0
387,0.0,0.0,1.0
388,1.0,0.0,0.0
394,0.0,0.0,1.0
396,1.0,0.0,0.0
398,0.0,0.0,1.0
401,0.0,0.0,1.0
402,1.0,0.0,0.0
403,1.0,0.0,0.0
407,1.0,0.0,0.0
410,1.0,0.0,0.0
411,1.0,0.0,0.0
415,1.0,0.0,0.0
418,1.0,0.0,0.0
